1,KCVL,KOCHUVELI,A,09:20,1
2,QLN,QULION JN.,10:20,10:25,1
3,KYJ,KAYANKULAM JN.,11:03,11:05,1
4,ALLP,ALLEPPEY,11:40,11:43,1
5,ERS,ERNAKULAM JN,12:55,13:00,1
6,TCR,THRISUR,14:05,14:08,1
7,SRR,SHORANUR JN.,15:00,15:05,1
8,CLT,KOZHIKKODE,16:20,16:25,1
9,CAN,KANNUR,17:50,17:55,1
10,KGQ,KASARGOD,18:48,18:50,1
11,MAJN,MANGALORE JN.,20:05,20:15,1
12,UD,UDUPI,21:44,21:46,1
13,MAO,MADGAON,01:20,01:30,2
14,RN,RATNAGIRI,05:00,05:05,2
15,PNVL,PANVEL,10:55,11:00,2
16,BSR,VASAI ROAD,12:45,12:50,2
17,BRC,VADODARA JN.,17:38,17:56,2
18,KOTA,KOTA JN.,02:55,03:00,3
19,NZM,HAZRAT NIZAMUDDIN J,10:58,11:00,3
20,NDLS,NEW DELHI,11:20,11:50,3
21,UMB,AMBALA CANTT. JN.,14:50,15:00,3
22,CDG,CHANDIGARH,15:45,D,3
