1,NZM,HAZRAT NIZAMUDDIN J,A,10:55,1
2,KOTA,KOTA JN.,15:20,15:30,1
3,BRC,VADODARA JN.,22:18,22:36,1
4,BSR,VASAI ROAD,03:10,03:15,2
5,PNVL,PANVEL,04:25,04:30,2
6,RN,RATNAGIRI,09:05,09:10,2
7,SWV,SAWANTWADI ROAD,11:06,11:08,2
8,MAO,MADGAON,12:32,12:42,2
9,KAWR,KARWAR,13:40,13:42,2
10,UD,UDUPI,16:18,16:20,2
11,MAJN,MANGALORE JN.,17:50,18:00,2
12,CAN,KANNUR,19:50,19:55,2
13,CLT,KOZHIKKODE,21:15,21:20,2
14,SRR,SHORANUR JN.,22:30,22:35,2
15,TCR,THRISUR,23:27,23:30,2
16,ERS,ERNAKULAM JN,00:55,01:00,3
17,ALLP,ALLEPPEY,01:58,02:00,3
18,QLN,QULION JN.,03:20,03:23,3
19,TVC,TRIVANDRUM CENTRAL,04:55,D,3
