1,VSG,VASCO-DA-GAMA,A,15:10,1
2,MAO,MADGAON,15:45,15:50,1
3,KDCR,KUDACHIRE,15:58,16:00,1
4,QLM,KULEM,16:30,16:35,1
5,CLR,CASTLE ROCK,17:35,17:40,1
6,LD,LONDA JN.,18:35,18:45,1
7,BGM,BELGAUM,19:45,19:50,1
8,MRJ,MIRAJ JN.,22:25,22:30,1
9,SLI,SANGLI,22:42,22:45,1
10,KRD,KARAD,23:44,23:45,1
11,PUNE,PUNE JN.,03:55,04:10,2
12,DD,DAUND JN.,05:35,05:50,2
13,ANG,AHMADNAGAR,07:28,07:30,2
14,MMR,MANMAD,10:15,10:20,2
15,BSL,BHUSAVAL,12:40,12:55,2
16,KNW,KHANDWA JN.,14:55,15:00,2
17,ET,ITARSI,17:30,17:35,2
18,BPL,BHOPAL JN.,19:30,19:40,2
19,JHS,JHANSI JN,23:50,23:58,2
20,GWL,GWALIOR JN.,01:10,01:15,3
21,AGC,AGRA CANTT JN.,03:00,03:05,3
22,NZM,HAZRAT NIZAMUDDIN J,06:20,D,3
