1,ERS,ERNAKULAM JN,A,20:25,1
2,AWY,ALUVA,20:45,20:47,1
3,TCR,THRISUR,21:45,21:48,1
4,SRR,SHORANUR JN.,22:45,22:50,1
5,TIR,TIRUR,23:29,23:30,1
6,CLT,KOZHIKKODE,00:15,00:20,2
7,CAN,KANNUR,01:40,01:45,2
8,KGQ,KASARGOD,03:09,03:10,2
9,MAJN,MANGALORE JN.,04:25,04:35,2
10,UD,UDUPI,06:20,06:22,2
11,KUDA,KUNDAPURA,06:48,06:50,2
12,BYNR,MOOKAMBIKA BYNDOOR,07:16,07:18,2
13,BTJL,BHATKAL,07:33,07:35,2
14,GOK,GOKARNA ROAD,08:40,08:42,2
15,KAWR,KARWAR,09:28,09:30,2
16,MAO,MADGAON,11:10,11:20,2
17,THVM,THIVIM,12:08,12:10,2
18,RN,RATNAGIRI,15:00,15:05,2
19,VEER,VEER,17:40,17:42,2
20,PNVL,PANVEL,19:50,19:55,2
21,BSR,VASAI ROAD,21:15,21:20,2
22,VAPI,VAPI,22:55,22:56,2
23,ST,SURAT,00:15,00:20,3
24,BRC,VADODARA JN.,02:03,02:13,3
25,RTM,RATLAM JN. (B.G.),06:20,06:30,3
26,NAD,NAGDA JN.,07:28,07:30,3
27,KOTA,KOTA JN.,09:55,10:05,3
28,SWM,SAWAI MADHOPUR JN.,12:10,12:20,3
29,DPA,DURGAPURA,14:04,14:06,3
30,JP,JAIPUR JN.,14:35,14:45,3
31,KSG,KISHANGARH,15:58,16:00,3
32,AII,AJMER JN.,17:10,D,3
