1,BKN,BIKANER JN,A,21:40,1
2,NOK,NOKHA,22:42,22:44,1
3,NGO,NAGAUR,23:37,23:42,1
4,MTD,MERTA ROAD JN.,00:45,00:50,2
5,JU,JODHPUR JN.,02:45,03:00,2
6,LUNI,LUNI  JN.,03:29,03:32,2
7,PMY,PALI MARWAR,04:03,04:08,2
8,MJ,MARWAR JN.,05:10,05:12,2
9,ABR,ABU ROAD,07:35,07:45,2
10,PNU,PALANPUR JN.,09:05,09:07,2
11,MSH,MAHESANA JN,10:18,10:20,2
12,ADI,AHMADABAD JN.,12:30,13:00,2
13,BRC,VADODARA JN.,14:55,15:05,2
14,AKV,ANKLESHWAR JN.,15:59,16:01,2
15,ST,SURAT,16:50,17:00,2
16,VAPI,VAPI,18:18,18:20,2
17,BOR,BOISAR,19:18,19:20,2
18,BSR,VASAI ROAD,20:30,20:40,2
19,PNVL,PANVEL,22:00,22:05,2
20,MNI,MANGAON,00:14,00:16,3
21,RN,RATNAGIRI,02:50,02:55,3
22,KUDL,KUDAL,04:50,04:52,3
23,THVM,THIVIM,05:40,05:42,3
24,MAO,MADGAON,07:25,07:35,3
25,KT,KUMTA,09:38,09:40,3
26,MRDW,MURDESHWAR,10:18,10:20,3
27,BYNR,MOOKAMBIKA BYNDOOR,10:56,10:58,3
28,UD,UDUPI,11:54,11:56,3
29,MAJN,MANGALORE JN.,13:40,13:50,3
30,KGQ,KASARGOD,14:28,14:30,3
31,CAN,KANNUR,15:55,16:00,3
32,QLD,QUILANDI,16:58,17:00,3
33,CLT,KOZHIKKODE,17:30,17:35,3
34,TIR,TIRUR,18:28,18:30,3
35,SRR,SHORANUR JN.,19:40,19:50,3
36,TCR,THRISUR,20:48,20:51,3
37,AWY,ALUVA,21:30,21:32,3
38,ERN,ERNAKULAM TOWN,22:05,22:10,3
39,KTYM,KOTTYAM,23:10,23:13,3
40,TRVL,TIRUVALLA,23:41,23:43,3
41,CNGR,CHENGANNUR,23:53,23:55,3
42,KYJ,KAYANKULAM JN.,00:18,00:20,4
43,QLN,QULION JN.,01:25,01:30,4
44,KCVL,KOCHUVELI,02:50,D,4
