1,OKHA,OKHA,A,04:05,1
2,DWK,DWARKA,04:31,04:33,1
3,KMBL,KHAMBHALIYA JN.,05:40,05:42,1
4,JAM,JAMNAGAR JN,06:23,06:25,1
5,HAPA,HAPA,06:40,06:42,1
6,RJT,RAJKOT JN.,08:25,08:35,1
7,SUNR,SURENDRANAGAR JN.,10:11,10:13,1
8,VG,VIRAMGAM JN.,11:33,11:35,1
9,ADI,AHMADABAD JN.,12:50,13:00,1
10,ANND,ANAND JN.,14:05,14:07,1
11,BRC,VADODARA JN.,14:55,15:05,1
12,AKV,ANKLESHWAR JN.,15:59,16:01,1
13,ST,SURAT,16:50,17:00,1
14,NVS,NAVSARI,17:21,17:23,1
15,BL,VALSAD,17:55,17:57,1
16,BOR,BOISAR,19:18,19:20,1
17,BSR,VASAI ROAD,20:30,20:40,1
18,BIRD,BHIVANDI ROAD,21:06,21:08,1
19,PNVL,PANVEL,22:00,22:05,1
20,MNI,MANGAON,00:14,00:16,2
21,RN,RATNAGIRI,02:50,02:55,2
22,KKW,KANKAVLI,04:24,04:26,2
23,THVM,THIVIM,05:40,05:42,2
24,MAO,MADGAON,07:25,07:35,2
25,KAWR,KARWAR,08:40,08:42,2
26,HNA,HONNAVAR,09:53,09:55,2
27,BTJL,BHATKAL,10:34,10:36,2
28,BYNR,MOOKAMBIKA BYNDOOR,10:56,10:58,2
29,KUDA,KUNDAPURA,11:24,11:26,2
30,UD,UDUPI,11:54,11:56,2
31,SL,SURATKAL,12:40,12:42,2
32,MAJN,MANGALORE JN.,13:40,13:50,2
33,KGQ,KASARGOD,14:28,14:30,2
34,KZE,KANHANGAD,14:48,14:50,2
35,PAY,PAYYANUR,15:18,15:20,2
36,KPQ,KANNAPURAM,15:33,15:35,2
37,CAN,KANNUR,15:55,16:00,2
38,TLY,TELLICHERRY,16:18,16:20,2
39,BDJ,BADAGARA,16:38,16:40,2
40,QLD,QUILANDI,16:58,17:00,2
41,CLT,KOZHIKKODE,17:30,17:35,2
42,FK,FEROK,17:53,17:55,2
43,PGI,PARAPANANGADI,18:13,18:15,2
44,TIR,TIRUR,18:28,18:30,2
45,KTU,KUTTIPURAM,18:48,18:50,2
46,PTB,PATTAMBI,19:08,19:10,2
47,SRR,SHORANUR JN.,19:45,19:50,2
48,TCR,THRISUR,20:48,20:51,2
49,AWY,ALUVA,21:30,21:32,2
50,ERS,ERNAKULAM JN,22:20,D,2
