1,VSG,VASCO-DA-GAMA,A,09:00,1
2,MAO,MADGAON,09:30,09:35,1
3,SVM,SANVORDEM CURCHOREM,09:48,09:50,1
4,QLM,KULEM,10:20,10:22,1
5,CLR,CASTLE ROCK,11:30,11:35,1
6,LD,LONDA JN.,12:03,12:05,1
7,LWR,ALNAVAR,12:49,12:50,1
8,DWR,DHARWAD,13:18,13:20,1
9,UBL,HUBLI JN.,14:30,14:40,1
10,NGR,ANNIGERI,15:10,15:12,1
11,GDG,GADAG JN.,15:48,15:50,1
12,KBL,KOPPAL,16:53,16:55,1
13,MRB,MUNIRABAD,17:35,17:37,1
14,HPT,HOSPET JN.,17:50,17:55,1
15,TNGL,TORNAGALLU,18:30,18:32,1
16,BAY,BELLARY JN.,19:15,19:20,1
17,GTL,GUNTAKAL JN.,20:55,21:45,1
18,GY,GOOTY JN.,22:10,22:12,1
19,TU,TADIPATRI,22:50,22:52,1
20,MOO,MUDDANURU,23:36,23:38,1
21,YA,YERRAGUNTLA,23:52,23:54,1
22,HX,CUDDAPAH,00:35,00:37,2
23,RJP,RAJAMPET,01:22,01:24,2
24,KOU,KODURU,01:50,01:52,2
25,RU,RENIGUNTA,03:08,03:10,2
26,TPTY,TIRUPATI,04:00,D,2
