1,KCVL,KOCHUVELI,A,11:00,1
2,QLN,QULION JN.,11:50,11:55,1
3,KYJ,KAYANKULAM JN.,12:30,12:32,1
4,ALLP,ALLEPPEY,13:37,13:40,1
5,ERS,ERNAKULAM JN,14:50,14:55,1
6,AWY,ALUVA,15:18,15:20,1
7,TCR,THRISUR,16:07,16:10,1
8,SRR,SHORANUR JN.,16:50,17:00,1
9,CLT,KOZHIKKODE,18:20,18:25,1
10,CAN,KANNUR,19:50,19:55,1
11,KGQ,KASARGOD,20:58,21:00,1
12,MAJN,MANGALORE JN.,22:00,22:10,1
13,UD,UDUPI,23:38,23:40,1
14,KAWR,KARWAR,03:00,03:02,2
15,MAO,MADGAON,03:50,04:00,2
16,THVM,THIVIM,04:46,04:48,2
17,KUDL,KUDAL,06:10,06:12,2
18,RN,RATNAGIRI,08:05,08:10,2
19,CHI,CHIPLUN,09:40,09:42,2
20,ROH,ROHA,12:15,12:20,2
21,PNVL,PANVEL,13:35,13:40,2
22,BSR,VASAI ROAD,15:10,15:30,2
23,BOR,BOISAR,16:10,16:13,2
24,VAPI,VAPI,17:06,17:08,2
25,ST,SURAT,18:45,18:55,2
26,BRC,VADODARA JN.,20:48,20:58,2
27,DHD,DAHOD,23:39,23:41,2
28,RTM,RATLAM JN. (B.G.),01:20,01:25,3
29,NAD,NAGDA JN.,02:06,02:08,3
30,UJN,UJJAIN JN.,03:20,03:25,3
31,DWX,DEWAS,04:12,04:14,3
32,INDB,INDORE JN,05:15,D,3
