1,INDB,INDORE JN,A,21:05,1
2,DWX,DEWAS,21:41,21:43,1
3,UJN,UJJAIN JN.,22:30,22:35,1
4,NAD,NAGDA JN.,23:40,23:42,1
5,RTM,RATLAM JN. (B.G.),00:20,00:25,2
6,DHD,DAHOD,01:48,01:50,2
7,BRC,VADODARA JN.,04:40,04:50,2
8,ST,SURAT,06:20,06:25,2
9,VAPI,VAPI,07:51,07:53,2
10,BOR,BOISAR,10:03,10:05,2
11,BSR,VASAI ROAD,11:15,11:20,2
12,PNVL,PANVEL,13:10,13:15,2
13,ROH,ROHA,15:00,15:05,2
14,CHI,CHIPLUN,16:58,17:00,2
15,RN,RATNAGIRI,19:00,19:05,2
16,KUDL,KUDAL,21:12,21:14,2
17,THVM,THIVIM,22:08,22:10,2
18,MAO,MADGAON,23:25,23:35,2
19,KAWR,KARWAR,00:28,00:30,3
20,UD,UDUPI,04:00,04:02,3
21,MAJN,MANGALORE JN.,05:55,06:05,3
22,KGQ,KASARGOD,06:43,06:45,3
23,CAN,KANNUR,08:15,08:20,3
24,CLT,KOZHIKKODE,09:40,09:45,3
25,SRR,SHORANUR JN.,11:35,11:45,3
26,TCR,THRISUR,12:30,12:33,3
27,AWY,ALUVA,13:40,13:42,3
28,ERS,ERNAKULAM JN,14:20,14:25,3
29,ALLP,ALLEPPEY,15:35,15:38,3
30,KYJ,KAYANKULAM JN.,16:10,16:12,3
31,QLM,KULEM,17:10,17:15,3
32,KCVL,KOCHUVELI,18:30,D,3
