1,PUNE,PUNE JN.,A,18:45,1
2,PNVL,PANVEL,21:20,21:25,1
3,CHI,CHIPLUN,00:44,00:46,2
4,RN,RATNAGIRI,01:55,02:00,2
5,KKW,KANKAVLI,03:12,03:14,2
6,SWV,SAWANTWADI ROAD,03:58,04:00,2
7,MAO,MADGAON,05:45,05:55,2
8,KAWR,KARWAR,06:50,06:52,2
9,UD,UDUPI,09:38,09:40,2
10,MAJN,MANGALORE JN.,11:10,11:20,2
11,KGQ,KASARGOD,12:03,12:05,2
12,CAN,KANNUR,13:15,13:20,2
13,TLY,TELLICHERRY,13:38,13:40,2
14,CLT,KOZHIKKODE,14:40,14:45,2
15,TIR,TIRUR,15:23,15:25,2
16,SRR,SHORANUR JN.,16:15,16:20,2
17,TCR,THRISUR,17:05,17:08,2
18,ERS,ERNAKULAM JN,18:50,D,2
