1,DR,DADAR,A,20:40,1
2,TNA,THANE,21:02,21:05,1
3,PNVL,PANVEL,21:50,21:55,1
4,ROH,ROHA,23:25,23:30,1
5,CHI,CHIPLUN,01:10,01:12,2
6,RN,RATNAGIRI,02:25,02:30,2
7,KKW,KANKAVLI,03:44,03:46,2
8,THVM,THIVIM,05:20,05:22,2
9,MAO,MADGAON,06:20,06:30,2
10,KAWR,KARWAR,07:22,07:24,2
11,HNA,HONNAVAR,08:20,08:22,2
12,UD,UDUPI,10:30,10:32,2
13,MAJN,MANGALORE JN.,12:10,12:20,2
14,CAN,KANNUR,14:10,14:15,2
15,CLT,KOZHIKKODE,15:30,15:35,2
16,SRR,SHORANUR JN.,17:05,17:10,2
17,PGT,PALGHAT JN.,18:10,18:15,2
18,CBE,COIMBATORE JN.,19:40,19:45,2
19,TUP,TIRUPPUR,20:28,20:30,2
20,ED,ERODE JN.,21:25,21:30,2
21,KRR,KARUR JN.,22:28,22:30,2
22,DG,DINDUGAL,23:25,23:30,2
23,MDU,MADURAI JN,00:35,00:40,3
24,VPT,VIRUDUNAGAR JN,01:20,01:22,3
25,CVP,KOVILPATTI,02:06,02:07,3
26,TEN,TIRUNELVELI JN.,04:00,D,3
