1,KCVL,KOCHUVELI,A,08:45,1
2,QLN,QULION JN.,09:35,09:40,1
3,CNGR,CHENGANNUR,10:38,10:40,1
4,KTYM,KOTTYAM,11:30,11:33,1
5,ERN,ERNAKULAM TOWN,12:55,13:00,1
6,TCR,THRISUR,14:05,14:08,1
7,SRR,SHORANUR JN.,15:00,15:05,1
8,CLT,KOZHIKKODE,16:20,16:25,1
9,CAN,KANNUR,17:50,17:55,1
10,KGQ,KASARGOD,18:48,18:50,1
11,MAJN,MANGALORE JN.,20:05,20:15,1
12,UD,UDUPI,21:44,21:46,1
13,MAO,MADGAON,01:20,01:30,2
14,RN,RATNAGIRI,05:00,05:05,2
15,PNVL,PANVEL,10:55,11:00,2
16,BSR,VASAI ROAD,12:40,12:45,2
17,ST,SURAT,15:37,15:42,2
18,BRC,VADODARA JN.,17:30,17:56,2
19,KOTA,KOTA JN.,02:55,03:00,3
20,NZM,HAZRAT NIZAMUDDIN J,10:40,11:00,3
21,GZB,GHAZIABAD JN.,11:40,11:42,3
22,MTC,MEERUT CITY JN,12:25,12:27,3
23,MOZ,MUZAFFAR NAGAR,13:02,13:04,3
24,RK,ROORKEE,14:43,14:45,3
25,HW,HARIDWAR,15:50,16:10,3
26,DDN,DEHRADUN - JN.,18:10,D,3
