1,DDN,DEHRADUN - JN.,A,05:50,1
2,HW,HARIDWAR,07:20,07:55,1
3,RK,ROORKEE,08:40,08:45,1
4,DBD,DEOBAND,10:22,10:24,1
5,MOZ,MUZAFFAR NAGAR,10:42,10:44,1
6,MTC,MEERUT CITY JN,11:24,11:26,1
7,GZB,GHAZIABAD JN.,12:30,12:32,1
8,NZM,HAZRAT NIZAMUDDIN J,13:20,13:55,1
9,KOTA,KOTA JN.,19:45,19:50,1
10,BRC,VADODARA JN.,04:07,04:29,2
11,ST,SURAT,06:25,06:30,2
12,BSR,VASAI ROAD,10:50,11:00,2
13,PNVL,PANVEL,12:10,12:15,2
14,RN,RATNAGIRI,17:45,17:50,2
15,MAO,MADGAON,21:00,21:10,2
16,UD,UDUPI,01:38,01:40,3
17,MAJN,MANGALORE JN.,03:00,03:10,3
18,KGQ,KASARGOD,03:48,03:50,3
19,CAN,KANNUR,05:05,05:10,3
20,CLT,KOZHIKKODE,06:15,06:20,3
21,SRR,SHORANUR JN.,08:10,08:20,3
22,TCR,THRISUR,09:02,09:05,3
23,ERN,ERNAKULAM TOWN,10:35,10:40,3
24,KTYM,KOTTYAM,11:55,11:58,3
25,CNGR,CHENGANNUR,12:36,12:38,3
26,QLN,QULION JN.,13:55,14:00,3
27,KCVL,KOCHUVELI,15:15,D,3
