1,SWV,SAWANTWADI ROAD,A,08:30,1
2,ZARP,ZARAP,08:39,08:40,1
3,KUDL,KUDAL,08:51,08:52,1
4,SNDD,SINDUDURG,09:02,09:03,1
5,KKW,KANKAVLI,09:21,09:22,1
6,NAN,NANDGAON ROAD,09:41,09:42,1
7,VBW,VAIBHAVWADI ROAD,09:55,09:56,1
8,RAJP,RAJAPUR ROAD,10:11,10:12,1
9,SUAL,SAUNDAL,10:22,10:23,1
10,VID,VILAVADE,10:29,10:30,1
11,VRLI,VERAVALI,10:44,10:45,1
12,ADVI,ADAVALI,11:05,11:06,1
13,NIV,NIVSAR,11:21,11:22,1
14,RN,RATNAGIRI,12:05,12:10,1
15,BOKE,BHOKE,12:21,12:22,1
16,UKC,UKSHI,12:32,12:33,1
17,SGR,SANGMESHWAR,12:47,12:48,1
18,AVRD,ARAVALI ROAD,13:00,13:01,1
19,SVX,SAVARDA,13:10,13:11,1
20,KMAH,KAMATHE,13:22,13:24,1
21,CHI,CHIPLUN,13:33,13:38,1
22,ANO,ANJANI,14:00,14:01,1
23,KHED,KHED,14:18,14:19,1
24,DWV,DIWAN KHAVATI,14:47,14:48,1
25,VINH,VINHERE,15:00,15:01,1
26,KFD,KARANJADI,15:13,15:14,1
27,SAPE,SAPE-WAMANE,15:23,15:24,1
28,VEER,VEER,15:34,15:35,1
29,GNO,GOREGAON ROAD(H),15:46,15:47,1
30,MNI,MANGAON,16:00,16:01,1
31,INP,INDAPUR(H),16:11,16:12,1
32,KOL,KOLAD,16:21,16:22,1
33,ROH,ROHA,17:13,17:15,1
34,NGTN,NAGOTHANE,17:34,17:35,1
35,KASU,KASU,17:47,17:48,1
36,PEN,PEN,18:04,18:05,1
37,HMRR,HAMARAPUR,18:12,18:13,1
38,JITE,JITE,18:22,18:23,1
39,APTA,APTA,18:34,18:35,1
40,RSYI,RASAYANI,18:39,18:40,1
41,SMNE,SOMATANE,18:46,18:47,1
42,PNVL,PANVEL,19:00,19:05,1
43,KLMG,KALAMBOLI,19:16,19:17,1
44,NVRD,NAVDE ROAD,19:20,19:21,1
45,TPND,TALOJE PANCHNAND,19:26,19:27,1
46,DIVA,DIVA JN.,20:10,D,1
